firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Josh,McCown,QB,15,STARTED,2018,32013030-2d30-3032-3132-3036625eba8c,00-0021206,MCC600777,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Steve,McLendon,DL,99,STARTED,2018,32013030-2d30-3032-3635-36347d3950f2,00-0026564,MCL589496,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Andre,Roberts,WR,19,,2018,32013030-2d30-3032-3736-393138b8a13c,00-0027691,ROB102317,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
James,Carpenter,G,77,STARTED,2018,32013030-2d30-3032-3739-3633555ea6de,00-0027963,CAR302544,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Buster,Skrine,CB,41,,2018,32013030-2d30-3032-3830-3735279b363b,00-0028075,SKR296636,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jermaine,Kearse,WR,10,STARTED,2018,32013030-2d30-3032-3931-3539c6b87ab9,00-0029159,KEA511674,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Kelvin,Beachum,T,68,STARTED,2018,32013030-2d30-3032-3933-3136fead0e09,00-0029316,BEA111513,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Rishard,Matthews,WR,82,,2018,32013030-2d30-3032-3935-38309e9dc6f3,00-0029580,MAT576281,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Morris,Claiborne,CB,21,STARTED,2018,32013030-2d30-3032-3936-37364cb5b6dc,00-0029676,CLA042651,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Trumaine,Johnson,CB,22,STARTED,2018,32013030-2d30-3032-3936-393067a694a7,00-0029690,JOH708747,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Brandon,Copeland,LB,51,STARTED,2018,32013030-2d30-3033-3030-31305af73086,00-0030010,COP276485,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Brian,Winters,G,67,STARTED,2018,32013030-2d30-3033-3030-3636f9831656,00-0030066,WIN742785,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Rontez,Miles,S,45,,2018,32013030-2d30-3033-3031-373072144995,00-0030170,MIL070511,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jonotthan,Harrison,OL,78,STARTED,2018,32013030-2d30-3033-3036-3439a2313407,00-0030649,HAR601814,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Isaiah,Crowell,RB,20,STARTED,2018,32013030-2d30-3033-3036-3536e25e7d02,00-0030656,CRO734794,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Mike,Pennel,DL,98,,2018,32013030-2d30-3033-3037-3537fc747f2e,00-0030757,PEN320554,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Dakota,Dozier,G,70,,2018,32013030-2d30-3033-3130-3137afe8f628,00-0031017,DOZ290704,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Quincy,Enunwa,WR,81,STARTED,2018,32013030-2d30-3033-3130-3233cde32046,00-0031023,ENU444955,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Brent,Qvale,OL,79,,2018,32013030-2d30-3033-3130-33316cc75a8f,00-0031031,QVA373627,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Spencer,Long,C,61,NOT_ACTIVE,2018,32013030-2d30-3033-3130-34376737a544,00-0031047,LON548655,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jeremiah,Attaochu,LB,55,,2018,32013030-2d30-3033-3132-35385aa10fc4,00-0031258,ATT290361,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Avery,Williamson,LB,54,STARTED,2018,32013030-2d30-3033-3132-363359e5791a,00-0031263,WIL577995,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Kevin,Pierre-Louis,LB,56,,2018,32013030-2d30-3033-3133-3038db393235,00-0031308,PIE584019,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Terrence,Brooks,S,23,,2018,32013030-2d30-3033-3133-3338a287b460,00-0031338,BRO172431,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jason,Myers,K,02,,2018,32013030-2d30-3033-3134-3932f870efc5,00-0031492,MYE407253,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Darryl,Roberts,CB,27,,2018,32013030-2d30-3033-3136-32383c91768d,00-0031628,ROB127520,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Eric,Tomlinson,TE,83,STARTED,2018,32013030-2d30-3033-3136-3930b1e7e4b6,00-0031690,TOM677561,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Neville,Hewitt,LB,46,,2018,32013030-2d30-3033-3137-3430887fa114,00-0031740,HEW203041,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Leonard,Williams,DL,92,STARTED,2018,32013030-2d30-3033-3139-333311c8e9cc,00-0031933,WIL426411,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Henry,Anderson,DL,96,,2018,32013030-2d30-3033-3232-3639203d33ee,00-0032269,AND287484,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Rashard,Robinson,CB,30,NOT_ACTIVE,2018,32013030-2d30-3033-3234-3130cad664eb,00-0032410,ROB680485,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Brandon,Shell,T,72,STARTED,2018,32013030-2d30-3033-3234-3230431b3af3,00-0032420,SHE288626,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Lachlan,Edwards,P,04,,2018,32013030-2d30-3033-3234-3439f903e492,00-0032449,EDW571443,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Robby,Anderson,WR,11,NOT_ACTIVE,2018,32013030-2d30-3033-3236-3838f52d40a0,00-0032688,AND460305,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Charone,Peake,WR,17,STARTED,2018,32013030-2d30-3033-3239-3539d1fb9430,00-0032959,PEA150300,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jordan,Jenkins,LB,48,STARTED,2018,32013030-2d30-3033-3239-373083adf6c9,00-0032970,JEN295944,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Darron,Lee,LB,58,STARTED,2018,32013030-2d30-3033-3331-34377a28d766,00-0033147,LEE144802,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Thomas,Hennessy,LS,42,,2018,32013030-2d30-3033-3332-3630c1b6e770,00-0033260,HEN540649,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Elijah,McGuire,RB,25,,2018,32013030-2d30-3033-3332-39353cda0684,00-0033295,MCG791501,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Derrick,Jones,CB,31,NOT_ACTIVE,2018,32013030-2d30-3033-3332-39393275eca3,00-0033299,JON233454,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Davis,Webb,QB,05,,2018,32013030-2d30-3033-3335-35307f53ec19,00-0033550,WEB107865,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jamal,Adams,S,33,STARTED,2018,32013030-2d30-3033-3338-373248bdb287,00-0033872,ADA392115,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Marcus,Maye,S,26,STARTED,2018,32013030-2d30-3033-3338-393259c62146,00-0033892,MAY291409,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Tarell,Basham,LB,93,,2018,32013030-2d30-3033-3339-313753ce936f,00-0033917,BAS140463,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jordan,Leggett,TE,86,,2018,32013030-2d30-3033-3339-353392403fd8,00-0033953,LEG424519,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Trenton,Cannon,RB,40,,2018,32013030-2d30-3033-3431-3634d719353d,00-0034164,CAN678301,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Parry,Nickerson,CB,43,,2018,32013030-2d30-3033-3432-37341e681274,00-0034274,NIC668282,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Folorunso,Fatukasi,DL,94,NOT_ACTIVE,2018,32013030-2d30-3033-3432-37356c26b154,00-0034275,FAT652601,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Frankie,Luvu,LB,50,,2018,32013030-2d30-3033-3433-30322333f64d,00-0034302,LUV652601,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Deontay,Burnett,WR,18,NOT_ACTIVE,2018,32013030-2d30-3033-3436-353328746abb,00-0034653,BUR406293,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Nathan,Shepherd,DL,97,STARTED,2018,32013030-2d30-3033-3437-363041730285,00-0034760,SHE517895,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Christopher,Herndon,TE,89,,2018,32013030-2d30-3033-3437-3636b50d54ca,00-0034766,HER373492,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Sam,Darnold,QB,14,NOT_ACTIVE,2018,32013030-2d30-3033-3438-36394b743d00,00-0034869,DAR466141,New York Jets,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Lorenzo,Alexander,LB,57,STARTED,2018,32013030-2d30-3032-3332-3539983eed03,00-0023259,ALE509608,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Derek,Anderson,QB,03,NOT_ACTIVE,2018,32013030-2d30-3032-3336-343575bf3e08,00-0023645,AND180512,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Kyle,Williams,DT,95,STARTED,2018,32013030-2d30-3032-3433-3438f3be748d,00-0024348,WIL415284,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Stephen,Hauschka,K,04,,2018,32013030-2d30-3032-3539-34345266e5e5,00-0025944,HAU342462,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
LeSean,McCoy,RB,25,STARTED,2018,32013030-2d30-3032-3730-3239509c985a,00-0027029,MCC620232,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Rafael,Bush,S,20,,2018,32013030-2d30-3032-3731-3935645f0d3d,00-0027195,BUS288052,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Chris,Ivory,RB,33,NOT_ACTIVE,2018,32013030-2d30-3032-3735-33312117c671,00-0027531,IVO253611,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Vladimir,Ducasse,G,62,,2018,32013030-2d30-3032-3736-3637cc6f2c5e,00-0027667,DUC019774,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Jerry,Hughes,DE,55,STARTED,2018,32013030-2d30-3032-3738-383180d4172d,00-0027881,HUG532081,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
Charles,Clay,TE,85,NOT_ACTIVE,2018,32013030-2d30-3032-3831-313217c3fa36,00-0028112,CLA715825,Buffalo Bills,bills-at-jets-2018-reg-10,2018-11-11T18:00:00.000Z
