firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Calais,Campbell,DL,93,STARTED,2018,32013030-2d30-3032-3631-3930796ca691,00-0026190,CAM208843,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Jermey,Parnell,OL,78,STARTED,2018,32013030-2d30-3032-3638-3339e5d8a69d,00-0026839,PAR613767,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Barry,Church,S,42,STARTED,2018,32013030-2d30-3032-3734-3136b3b0ce8b,00-0027416,CHU137380,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Marcell,Dareus,DT,99,STARTED,2018,32013030-2d30-3032-3739-34313411b1b8,00-0027941,DAR319542,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Niles,Paul,TE,81,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-393343f6180f,00-0028093,PAU265785,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Tashaun,Gipson,S,39,STARTED,2018,32013030-2d30-3032-3839-3234cdc19607,00-0028924,GIP543222,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Malik,Jackson,DT,97,STARTED,2018,32013030-2d30-3032-3935-3638deee64dd,00-0029568,JAC373912,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Cody,Davis,S,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-36348a112b3e,00-0029764,DAV247918,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Lerentee,McCray,DE,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-39394b7b7c7f,00-0029799,MCC670331,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Abry,Jones,DT,95,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3939-34365bdd84b7,00-0029946,JON026672,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Carson,Tinker,LS,46,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3939-353945318fb2,00-0029959,TIN173324,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Tommy,Bohanon,FB,40,STARTED,2018,32013030-2d30-3033-3031-313249f67e4f,00-0030112,BOH116572,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
A.J.,Bouye,CB,21,STARTED,2018,32013030-2d30-3033-3032-3238414cf97a,00-0030228,BOU651714,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
D.J.,Hayden,CB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-37326cbdbde9,00-0030572,HAY031145,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Josh,Walker,OL,73,NOT_ACTIVE,2018,32013030-2d30-3033-3036-3532a5bcd6d5,00-0030652,WAL240578,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Tyler,Shatley,OL,69,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3038-3237ed16183b,00-0030827,SHA509766,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Josh,Wells,OL,72,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3038-323983c39f83,00-0030829,WEL457772,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Andrew,Norwell,OL,68,STARTED,2018,32013030-2d30-3033-3131-32321231ca1c,00-0031122,NOR777536,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Tyler,Patmon,CB,23,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-3736766bb4ae,00-0031276,PAT162966,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Telvin,Smith,LB,50,STARTED,2018,32013030-2d30-3033-3133-3039a8f7999c,00-0031309,SMI739018,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Donte,Moncrief,WR,10,STARTED,2018,32013030-2d30-3033-3133-3339bb068e34,00-0031339,MON117004,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Brandon,Linder,OL,65,STARTED,2018,32013030-2d30-3033-3133-3639653484ad,00-0031369,LIN175931,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Blake,Bortles,QB,05,STARTED,2018,32013030-2d30-3033-3134-30371c5cfd02,00-0031407,BOR650964,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Austin,Seferian-Jenkins,TE,88,STARTED,2018,32013030-2d30-3033-3134-313884d0f888,00-0031418,SEF177981,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Corey,Grant,RB,30,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3137-333171ee09e8,00-0031731,GRA399769,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
Chris,Reed,OL,64,NOT_ACTIVE,2018,32013030-2d30-3033-3137-33346ff640bb,00-0031734,REE163330,Jacksonville Jaguars,patriots-at-jaguars-2018-reg-2,2018-09-16T20:25:00.000Z
