firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Chase,Daniel,QB,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3635-3434e5fd94ff,00-0026544,DAN230354,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Ted,Larsen,OL,62,STARTED,2019,32013030-2d30-3032-3736-30379155f710,00-0027607,LAR422272,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Sherrick,McManis,DB,27,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3737-3433a73d1b32,00-0027743,MCM219811,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Prince,Amukamara,DB,20,STARTED,2019,32013030-2d30-3032-3739-3537922975d1,00-0027957,AMU221488,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Buster,Skrine,DB,24,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3830-3735279b363b,00-0028075,SKR296636,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Patrick,Scales,LS,48,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3832-383485d61a86,00-0028284,SCA247669,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Bobby,Massie,OL,70,STARTED,2019,32013030-2d30-3032-3935-32387a3c09ae,00-0029528,MAS441786,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Danny,Trevathan,LB,59,STARTED,2019,32013030-2d30-3032-3935-373722890118,00-0029577,TRE789054,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Akiem,Hicks,DT,96,NOT_ACTIVE,2019,32013030-2d30-3032-3936-3537d62baff7,00-0029657,HIC340209,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Kyle,Long,OL,75,NOT_ACTIVE,2019,32013030-2d30-3033-3034-34319d6793f6,00-0030441,LON395646,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Nicholas,Williams,DT,97,STARTED,2019,32013030-2d30-3033-3035-3030748e7a41,00-0030500,WIL456378,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Cordarrelle,Patterson,WR,84,STARTED,2019,32013030-2d30-3033-3035-37385ea3f72d,00-0030578,PAT387075,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Trey,Burton,TE,80,STARTED,2019,32013030-2d30-3033-3037-31306f2009da,00-0030710,BUR817654,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Cornelius,Lucas,OL,73,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3037-3235295e76a7,00-0030725,LUC054659,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Aaron,Lynch,LB,99,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3039-393353732e13,00-0030993,LYN062058,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Khalil,Mack,LB,52,STARTED,2019,32013030-2d30-3033-3130-343096316ab8,00-0031040,MAC325122,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Kyle,Fuller,DB,23,STARTED,2019,32013030-2d30-3033-3130-3431b2e4548e,00-0031041,FUL352996,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Pat,O'Donnell,P,16,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3739cdb1623a,00-0031079,ODO667480,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Charles,Leno,OL,72,STARTED,2019,32013030-2d30-3033-3130-39359683374a,00-0031095,LEN389697,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Taylor,Gabriel,WR,18,NOT_ACTIVE,2019,32013030-2d30-3033-3132-3238c0947650,00-0031228,GAB627060,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Kevin,Pierre-Louis,LB,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-3038db393235,00-0031308,PIE584019,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
Ha Ha,Clinton-Dix,DB,21,STARTED,2019,32013030-2d30-3033-3133-3333b4cc844a,00-0031333,CLI769272,Chicago Bears,vikings-at-bears-2019-reg-4,2019-09-29T20:25:00.000Z
